iter	Passed	Remaining
0	136	13497
1	138	6791
2	140	4542
3	141	3397
4	142	2715
5	144	2260
6	145	1933
7	146	1686
8	147	1494
9	148	1340
10	149	1212
11	150	1106
12	151	1015
13	152	937
14	153	869
15	154	809
16	154	756
17	155	708
18	156	665
19	156	627
20	157	592
21	158	560
22	158	531
23	159	504
24	160	480
25	160	457
26	161	436
27	162	417
28	162	398
29	163	381
30	164	365
31	164	350
32	165	336
33	166	322
34	166	309
35	167	297
36	168	286
37	168	275
38	169	265
39	170	255
40	170	245
41	171	236
42	171	227
43	172	219
44	172	211
45	173	204
46	174	196
47	175	189
48	176	183
49	176	176
50	177	170
51	178	164
52	179	158
53	179	153
54	180	147
55	181	142
56	182	137
57	182	132
58	183	127
59	184	122
60	185	118
61	185	113
62	186	109
63	187	105
64	188	101
65	189	97
66	189	93
67	190	89
68	191	85
69	191	82
70	192	78
71	193	75
72	194	71
73	194	68
74	195	65
75	196	61
76	196	58
77	197	55
78	198	52
79	198	49
80	199	46
81	200	43
82	200	41
83	201	38
84	202	35
85	202	33
86	203	30
87	204	27
88	204	25
89	205	22
90	205	20
91	206	17
92	207	15
93	207	13
94	208	10
95	209	8
96	209	6
97	210	4
98	211	2
99	211	0
